V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1645021645022,31.6635745207174,37.9962894248608,44.3290043290043,49.3951762523191,48.7619047619047,50.6617192331478,56.9944341372913,58.8942486085343,59.5275200989486,63.0105132962276,66.1768707482993,68.3933209647495,68.3933209647495,72.82622139765,74.0927643784787,79.7922077922078,82.3252937538652,85.4916512059369,85.4916512059369,85.4916512059369,88.6580086580086,94.3574520717377,96.2572665429808,98.1570810142238,100.056895485467,100.056895485467,100.056895485467,100.056895485467,100.056895485467,100.056895485467,98.1570810142238,96.2572665429808,94.3574520717377,88.6580086580086,85.4916512059369,85.4916512059369,85.4916512059369,82.3252937538652,84.8583797155226,84.2251082251082,85.4916512059369,83.5918367346939,83.5918367346939,81.3753865182437,78.209029066172,74.726035868893,74.0927643784787,69.6598639455782,63.3271490414348,58.8942486085343,51.9282622139765,44.3290043290043,37.9962894248608,31.6635745207174,22.1645021645022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0839206156197,26.9180929236477,34.8351790776618,41.168848000873,46.8691500317631,49.085934154887,49.7193010472081,53.8361858472954,57.9530706473827,61.4365885551489,62.3866388936306,64.6034230167546,63.9700561244334,68.4036243706813,70.6204084938052,73.4705595092503,76.9540774170164,81.0709622171037,83.9211132325488,85.5045304633516,85.5045304633516,87.0879476941544,93.4216166173656,96.2717676328107,97.5385014174529,99.755285540576807,100.071968986737,100.071968986737,100.071968986737,100.071968986737,100.071968986737,98.4885517559346,96.9051345251318,94.3716669558473,89.6214152634389,87.0879476941544,85.5045304633516,85.5045304633516,83.9211132325488,83.6044297863882,84.5544801248699,84.8711635710305,84.5544801248699,83.6044297863883,86.7712642479939,79.8042284324615,75.0539767400531,71.5704588322869,71.8871422784475,66.5035236937179,61.1199051089884,55.4196030780983,48.1358838164053,41.168848000873,34.8351790776618,26.9180929236477,11.0839206156197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0889317317754,26.9302627771688,34.8509282998656,41.1874607180229,46.8903398943646,49.1081262407196,49.7417794825354,53.8605255543377,57.97927162614,61.4643644561265,62.4148443188501,64.6326306652052,63.9989774233895,68.4345501160996,70.6523364624547,73.5037760506255,76.9888688806121,81.1076149524144,83.9590545405852,85.5431876451245,85.5431876451245,87.1273207496639,93.4638531678213,96.315292755992,97.5825992396235,99.8003855859786,100.117212206886,100.117212206886,100.117212206886,100.117212206886,100.117212206886,98.5330791023471,96.9489459978078,94.4143330305448,89.6619337169268,87.1273207496639,85.5431876451245,85.5431876451245,83.9590545405852,83.6422279196773,84.592707782401,84.9095344033088,84.592707782401,83.6422279196774,86.810494128756,79.840308468783,75.0879091551649,71.6028163251784,71.9196429460862,66.5335903906524,61.1475378352187,55.444658658877,48.157646377996,41.1874607180229,34.8509282998656,26.9302627771688,11.0889317317754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51196456125089,26.9505662568775,34.8772033912533,41.2185130987539,47.5598228062544,49.1451502331296,49.7792812038796,55.4864599406302,56.4376563967553,61.5107041627558,64.047228045756,64.6813590165061,62.4619006188808,68.486144841006407,70.7056032386316,73.5591926070069,77.0469129461322,81.1687642560076,84.0223536243829,84.0223536243829,87.1930084781332,88.1442049342582,92.2660562441336,97.6561694955091,98.2903004662592,100.192693378509,100.509758863884,100.192693378509,100.192693378509,100.192693378509,99.8756278931343,98.2903004662591,96.387907554009,93.2172527002587,87.8271394488832,86.241812022008,87.1930084781332,84.0223536243829,84.0223536243829,83.7052881390078,84.6564845951329,84.973550080508,84.656484595133,83.7052881390079,85.290615565883,79.9005023145075,76.7298474607572,71.6567996947568,70.3885377532566,68.1690793556314,61.1936386773807,55.4864599406302,47.5598228062544,41.2185130987539,34.8772033912533,26.9505662568775,9.51196456125089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52201200966275,26.9790340273778,34.9140440354301,42.8490540434824,49.1970620499242,47.6100600483137,51.4188648521788,53.9580680547556,57.4494724582986,62.8452792637741,66.0192832669951,61.8930780628079,62.527878863452,65.701882866673,70.7802892718264,73.6368928747253,77.1282972782683,81.2545024824554,84.1111060853543,84.1111060853543,87.2851100885752,89.1895124905077,92.6809168940507,98.7115245001705,99.0289249004926,100.298526501781,100.615926902103,100.298526501781,100.298526501781,100.298526501781,99.9811261014588,98.3941240998483,95.8549208972716,92.3635164937286,87.6025104888972,85.3807076866426,87.2851100885752,84.1111060853543,84.1111060853543,83.7937056850322,84.7459068859985,85.0633072863206,84.7459068859985,88.5547116898636,85.3807076866427,82.2067036834218,73.6368928747253,70.4628888715044,66.3366836673172,66.6540840676392,62.8452792637741,53.9580680547556,49.1970620499242,42.8490540434824,34.9140440354301,26.9790340273778,9.52201200966275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53495618024437,27.015709177359,36.5506653576034,41.3181434477256,46.0856215378478,47.6747809012218,51.4887633733195,54.031418354718,57.527568954141,62.9307107896128,66.1090295163609,61.9772151715884,64.2020382803121,64.2020382803121,70.8765076064831,73.7369944605564,77.2331450599793,81.3649594047519,82.6362868954511,85.8146056221993,85.8146056221993,89.3107562216222,93.4425705663948,97.5743849111673,99.4813761472162,100.434871765241,101.388367383265,100.752703637915,100.434871765241,100.117039892566,99.4813761472161,98.5278805291917,95.6673936751184,90.5820837123214,87.0859331128985,85.4967737495244,85.8146056221993,85.8146056221993,82.6362868954511,83.9076143861504,84.8611100041748,85.1789418768497,84.8611100041749,87.0859331128986,87.0859331128986,82.3184550227764,73.7369944605565,70.5586757338083,66.4268613890357,66.7446932617106,62.9307107896128,54.0314183547181,46.0856215378478,41.3181434477256,36.5506653576034,27.015709177359,9.53495618024437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55081672205099,28.652450166153,35.019661314187,41.386872462221,46.1622808232464,47.7540836102549,53.1662130860838,54.1212947582889,59.2150636767161,61.4435875785281,66.2189959395536,62.0803086933314,63.67211148034,64.3088325951433,70.039322628374,73.8596493171944,77.361615448613,80.8635815800317,82.7737449244419,85.9573504984589,86.5940716132623,89.7776771872793,93.5980038760997,97.7366911223218,100.601936138937,100.920296696339,101.557017811142,100.920296696339,100.601936138937,100.283575581535,99.646854466732,98.3734122371252,94.8714461057065,90.7327588594844,87.2307927280657,85.3206293836555,85.3206293836555,85.9573504984589,82.7737449244419,84.6839082688521,85.0022688262538,85.3206293836555,86.5940716132623,87.2307927280658,84.0471871540487,82.4553843670403,73.8596493171944,69.0842409561689,68.1291592839637,66.8557170543569,64.627193152545,54.1212947582889,46.1622808232464,41.386872462221,35.019661314187,28.652450166153,9.55081672205099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97468149873664,30.3037896951992,33.4936622946939,41.4683437934305,46.2531526926725,51.0379615919145,51.6759361118134,52.6328978916618,59.0126430906511,61.5645411702469,63.7974519898931,64.1164392498426,63.7974519898931,66.0303628095394,68.2632736291856,75.5999806080234,77.5139041677201,79.4278277274169,84.5316238866084,84.5316238866084,87.721496486103,88.3594710060019,93.7822544251429,97.9290888044859,100.161999624132,101.118961403981,101.756935923879,101.118961403981,100.799974144031,100.480986884082,99.8430123641827,98.5670633243848,92.506305385345,90.9113690855976,87.4025092261535,83.8936493667094,84.5316238866083,84.5316238866084,84.5316238866084,83.2556748468105,85.1695984065073,87.0835219662041,89.9544073057493,88.9974455259009,84.2126366266589,79.427827727417,76.5569423878718,69.220235409034,65.3923882896405,65.3923882896405,63.1594774699942,57.4177067909038,46.2531526926725,41.4683437934305,33.4936622946939,30.3037896951992,7.97468149873664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59138817761434,27.175599836574,33.5698586216502,43.1612467992645,47.9569408880717,50.1949314628484,50.1949314628484,55.3103384909094,59.1468937619551,63.3031619722547,62.663736093747,64.2623007900161,63.9425878507623,64.5820137292699,66.8200043040466,74.1734019068843,77.6902442386762,79.608521874199,84.72392890226,84.72392890226,88.5604841733057,89.1999100518134,94.3153170798743,98.1518723509201,100.389862925697,102.30814056122,102.30814056122,101.668714682712,101.029288804204,100.389862925697,99.7504370471891,97.8321594116662,92.7167523836052,91.1181876873362,87.2816324162904,83.4450771452447,84.0845030237523,84.72392890226,84.72392890226,83.4450771452448,85.3633547807676,85.6830677200215,88.5604841733058,87.6013453555443,84.4042159630062,79.608521874199,78.00995717793,70.9762725143461,65.5411525470313,62.9834490330008,61.7045972759856,55.3103384909094,47.9569408880717,43.1612467992645,33.5698586216502,27.175599836574,9.59138817761434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61616134039851,25.6430969077294,35.2592582481279,43.2727260317933,46.4781131452594,48.7218841246858,50.3245776814188,57.0558906196978,60.9023551558572,64.1077422693234,59.6202003104708,64.42828098067,64.1077422693234,65.7104358260565,68.595284228176,72.7622874756821,77.8909068572279,81.4168326820407,84.9427585068535,85.5838359295467,87.1865294862798,89.7508391770527,92.9562262905189,98.725923094758,100.649155362838,101.610771496878,102.572387630917,102.251848919571,101.290232785531,100.328616651491,100.008077940144,95.8410746926384,92.9562262905188,91.0329940224391,85.9043746408933,83.3400649501203,82.6989875274271,84.3016810841602,84.9427585068535,85.2632972182001,85.5838359295467,88.1481456203197,90.391916599746,86.22491335224,84.6222197955069,79.8141391253076,75.0060584551084,70.5185164962557,67.3131293827896,64.7488196920166,61.8639712898971,53.8505035062316,46.4781131452594,43.2727260317933,35.2592582481279,25.6430969077294,9.61616134039851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2513048754741,24.109939018873,36.9685731622719,41.7905609660465,46.6125487698212,50.4701390128408,50.4701390128408,56.2565243773704,59.4711829132201,62.6858414490699,61.39997803473,64.6146365705797,67.8292951064294,65.9004999849196,68.7936926671843,69.4366243743543,76.5088731532237,81.6523268105833,83.5811219320931,86.4743146143579,87.4387121751128,90.3319048573775,92.2606999788874,99.0114829041719,100.940278025682,102.547607293607,102.869073147191,102.226141440022,101.583209732852,100.940278025682,100.297346318512,95.4753585147371,93.2250975396423,91.2963024181324,85.1884512000179,83.2596560785081,82.9381902249231,83.9025877856781,83.5811219320931,85.5099170536029,84.2240536392631,90.0104390037926,90.6533707109625,86.4743146143579,83.2596560785082,80.0449975426584,76.8303390068087,69.1151585207693,65.9004999849196,62.6858414490698,62.0429097418999,55.6135926702004,46.6125487698212,41.7905609660465,36.9685731622719,24.109939018873,11.2513048754741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67487428596524,25.799664762574,37.0870180962001,40.3119761915218,48.3743714298262,50.6318420965514,49.6643546679549,56.1142708585984,61.2742038111132,60.3067163825167,61.5966996206454,63.2091786683062,66.434136763628,66.1116409540958,67.4016241922245,69.6590948589497,77.7214900972541,81.9139356211723,83.8489104783654,87.7188601927515,88.0413560022836,89.0088434308802,92.5562973357341,97.7162302882489,101.263684193103,103.198659050296,101.263684193103,102.876163240764,101.908675812167,100.941188383571,97.3937344787167,95.4587596215236,93.5237847643306,89.9763308594766,85.4613895260262,81.9139356211723,82.8814230497688,83.203918859301,83.8489104783654,85.7838853355584,86.751372764155,90.2988266690089,89.3313392404124,86.751372764155,81.9139356211724,78.6889775258506,77.0764984781897,71.9165655256749,67.7241200017567,59.9842205729845,59.9842205729845,55.7917750490662,48.3743714298262,40.3119761915218,37.0870180962001,25.799664762574,9.67487428596524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
